geoid,state_fips,county_fips,county_name,date,year,dataset_type,ppt,tmean,tmin,tmax
17123,17,123,Marshall,2021-01-02,2021,AN91,5.903914594891244,-2.5032724790724172,-3.8888547250349657,-0.652270555888122
17143,17,143,Peoria,2021-01-02,2021,AN91,4.053019841432048,-2.8059798709663166,-4.351133262418654,-1.031879254352967
17001,17,001,Adams,2021-01-02,2021,AN91,0.31710663059932626,-3.2634409285514843,-4.7191142187047905,-1.6704224037099342
17177,17,177,Stephenson,2021-01-02,2021,AN91,0.0,-5.103164759732825,-6.457594528871428,-3.7776004158978793
17141,17,141,Ogle,2021-01-02,2021,AN91,0.04832557292333192,-3.62251652582127,-4.957454336206207,-2.281473966113981
17201,17,201,Winnebago,2021-01-02,2021,AN91,0.0,-3.6236393034884267,-4.9367924936855205,-2.011487891930589
17007,17,007,Boone,2021-01-02,2021,AN91,0.0,-3.147725897636387,-4.765801322684487,-1.537158685162787
17025,17,025,Clay,2021-01-02,2021,AN91,0.5267309119512534,1.1970518416351876,0.20756547749538998,2.2097813643775215
17185,17,185,Wabash,2021-01-02,2021,AN91,0.5648059418839164,2.178886281984262,0.5572701862798544,3.612171972529221
17009,17,009,Brown,2021-01-02,2021,AN91,0.6730907691892459,-2.6996579348529886,-4.156647777117642,-1.2672778642007858
17151,17,151,Pope,2021-01-02,2021,AN91,1.5009913445044596,2.5035879260441742,0.9238319524755779,4.062604279307078
17033,17,033,Crawford,2021-01-02,2021,AN91,0.5164872713309644,1.188056710115026,0.29558832092476045,2.0590392731107716
17135,17,135,Montgomery,2021-01-02,2021,AN91,0.7389286787651628,-0.3033264258932127,-0.9641269764836101,0.4414603204459648
17055,17,055,Franklin,2021-01-02,2021,AN91,0.0029256604867985937,1.3523585243091107,0.4207731734359322,2.3104877952374907
17023,17,023,Clark,2021-01-02,2021,AN91,0.5623899785282244,0.9634522444819063,0.03431360789191993,1.9110445432778778
17059,17,059,Gallatin,2021-01-02,2021,AN91,0.041074745555856725,2.6172757214329794,0.8117811834906796,4.287952379021155
17075,17,075,Iroquois,2021-01-02,2021,AN91,4.837963769284122,-0.2053999292964755,-1.0553034250841642,0.7998541625237783
17041,17,041,Douglas,2021-01-02,2021,AN91,6.563564221339143,0.09168013917977298,-1.0743882999122707,1.2924480531577955
17189,17,189,Washington,2021-01-02,2021,AN91,0.6049525886531636,0.7129797436585157,-0.06441842930722494,1.503495345257131
17159,17,159,Richland,2021-01-02,2021,AN91,0.6153545922705529,1.5454138949299894,0.49729325366953536,2.536980781385174
17065,17,065,Hamilton,2021-01-02,2021,AN91,0.425654961663462,1.7175249902940635,0.27162986298882275,3.211108434451062
17193,17,193,White,2021-01-02,2021,AN91,0.17937119978192323,2.5144922421270293,0.24481462177976868,4.831873792744328
17169,17,169,Schuyler,2021-01-02,2021,AN91,0.5412502882741367,-3.1089624447052473,-4.916109814414122,-1.3893598207546238
17181,17,181,Union,2021-01-02,2021,AN91,0.14081414174762344,2.1126266144685744,0.5898759937949077,3.770895614200736
17085,17,085,Jo Daviess,2021-01-02,2021,AN91,0.0,-5.842639419217548,-7.266169646018727,-4.358417736405501
17125,17,125,Mason,2021-01-02,2021,AN91,2.6171763416690004,-1.801974094113678,-3.3261642911981633,-0.6966973114652013
17191,17,191,Wayne,2021-01-02,2021,AN91,0.5481135096460893,1.58613655524304,0.25627057197953257,2.8746011566800647
17069,17,069,Hardin,2021-01-02,2021,AN91,0.20895200578337098,2.475464614855919,0.8346827313027607,4.010604554134157
17061,17,061,Greene,2021-01-02,2021,AN91,1.2091557595053541,-1.5758751362608738,-2.5948270256385904,-0.484083436553158
17157,17,157,Randolph,2021-01-02,2021,AN91,0.24078104970808054,0.450741288970035,-0.38495417080968863,1.3492133148604861
