geoid,state_fips,county_fips,county_name,year,month,n_days,ppt_total,tmean_mean,tmin_mean,tmax_mean,dataset_types
17189,17,189,Washington,2021,11,30,37.21013580717878,6.265132483052601,0.17375896623893575,12.356616231302779,AN91
17189,17,189,Washington,2021,12,31,112.30007985086618,7.239487509521619,1.9947581163956023,12.484334387069984,AN91
17191,17,191,Wayne,2020,1,31,151.23322426415083,2.1643551442158055,-1.8140521664370277,6.143219318937671,AN81
17191,17,191,Wayne,2020,2,29,71.29384388249044,2.1820295680867727,-2.336439494218431,6.700550048451981,AN81
17191,17,191,Wayne,2020,3,31,150.36238112415774,8.708297702916642,3.7573408814756517,13.659354470015606,AN81
17191,17,191,Wayne,2020,4,30,124.0086949294177,11.00244789427545,4.999035453960337,17.005962491600787,AN81
17191,17,191,Wayne,2020,5,31,124.56882533884551,17.19006472156109,12.215414824774657,22.164816018684824,AN81
17191,17,191,Wayne,2020,6,30,101.87829634320369,23.99830620277102,18.203764805984424,29.792950368490054,AN81
17191,17,191,Wayne,2020,7,31,182.47724183888,25.85308110450089,20.58270653193678,31.123554450761798,AN81
17191,17,191,Wayne,2020,8,31,74.79625055053943,23.150730591886376,17.704969067571056,28.596595415532725,AN81
17191,17,191,Wayne,2020,9,30,27.101793488458636,19.63582349314662,12.974707731921972,26.297040429053403,AN81
17191,17,191,Wayne,2020,10,31,123.47621231793237,12.50811244633748,5.804528008462535,19.211796756837686,AN81
17191,17,191,Wayne,2020,11,30,128.31184167197006,8.947493108300401,2.7238598208765183,15.171217668100821,AN81
17191,17,191,Wayne,2020,12,31,67.70052034045789,2.1529031266491065,-2.7104558594550423,7.015830922364361,"AN81,AN91"
17191,17,191,Wayne,2021,1,31,70.02716573489901,0.6943064220126163,-3.1010294233249875,4.480638988501272,AN91
17191,17,191,Wayne,2021,2,28,94.69784503824178,-3.2169931275382178,-7.790535599999513,1.3968387223084995,AN91
17191,17,191,Wayne,2021,3,31,133.94604158289908,9.426063312421213,3.368214208793399,15.394682148934226,AN91
17191,17,191,Wayne,2021,4,30,74.22373662117371,12.718983567194329,6.5873262254234275,18.75981429631859,AN91
17191,17,191,Wayne,2021,5,31,86.46600309950668,17.342526250075185,11.564929396825162,23.08190379644442,AN91
17191,17,191,Wayne,2021,6,30,129.35590789218304,23.917835136444392,18.620149162705932,29.346125739183712,AN91
17191,17,191,Wayne,2021,7,31,226.50105659189435,24.16685539807248,19.01257832933337,29.321274652792656,AN91
17191,17,191,Wayne,2021,8,31,150.51803031167816,24.989471429749173,19.67915510075151,30.299929564198866,AN91
17191,17,191,Wayne,2021,9,30,66.44839823381417,21.232949896398225,14.451909255007802,28.014135213616175,AN91
17191,17,191,Wayne,2021,10,31,109.83958391050582,16.605388608153977,11.090313284324113,22.120605382719017,AN91
17191,17,191,Wayne,2021,11,30,43.881996470880935,5.568905887118159,-0.8253832575303969,11.963306080966042,AN91
17191,17,191,Wayne,2021,12,31,118.17395226725264,7.250216580692123,1.7020222107654652,12.798529729961183,AN91
17193,17,193,White,2020,1,31,151.8445179630093,2.597654616896729,-1.4946637269063934,6.690436785549003,AN81
17193,17,193,White,2020,2,29,76.66968019706863,2.5065672962855485,-2.330870113858964,7.344058013742147,AN81
17193,17,193,White,2020,3,31,141.5413072253358,9.15765270829442,3.9421420026517895,14.373266046550514,AN81
17193,17,193,White,2020,4,30,105.27327402253414,11.286844884049065,5.080915304393854,17.492874793424015,AN81
17193,17,193,White,2020,5,31,167.83074615132884,17.452416658595062,12.46111837941804,22.443815380060727,AN81
17193,17,193,White,2020,6,30,198.40210340383456,23.89026869681046,18.220581591138018,29.560056919164694,AN81
17193,17,193,White,2020,7,31,145.0891467928695,26.05333113463223,20.72189321935995,31.384872220701716,AN81
17193,17,193,White,2020,8,31,88.06547993305063,23.31210171810269,18.001221046510697,28.623080320042906,AN81
17193,17,193,White,2020,9,30,36.47465985652134,19.89909099529778,13.352145199132101,26.446135895614262,AN81
